Sample_ID	Group1	Group2
WHYD22027214_B	A	A
WHYD22027215_B	A	A
WHYD22027216_B	A	A
WHYD22027217_B	A	A
WHYD22027218_B	A	A
WHYD22027220_B	A	A
WHYD22027221_B	A	A
WHYD22027222_B	B	B
WHYD22027223_B	B	B
WHYD22027224_B	B	B
WHYD22027225_B	B	B
WHYD22027226_B	B	B
WHYD22027227_B	B	B
WHYD22027228_B	B	B
WHYD22027229_B	B	B
WHYD22027230_B	B	B
WHYD22027231_B	B	B
WHYD22027232_B	B	B
WHYD22027233_B	C	C
WHYD22027234_B	C	C
WHYD22027235_B	C	C
WHYD22027236_B	C	C
WHYD22027237_B	C	C
WHYD22027238_B	C	C
WHYD22027239_B	C	C
WHYD22027240_B	C	C
WHYD22027241_B	C	C
WHYD22027245_B	C	C
WHYD22027247_B	C	C
WHYD22027248_B	C	C
WHYD22027249_B	C	C
WHYD22027250_B	C	C
WHYD22027251_B	C	C
WHYD22027252_B	C	C
WHYD22027253_B	C	C
WHYD22027254_B	C	C
WHYD22027255_B	C	C
WHYD22027256_B	C	C
WHYD22027257_B	C	C
WHYD22027258_B	C	C
WHYD22027259_B	C	C
WHYD22027260_B	C	C
WHYD22027261_B	C	C
WHYD22027262_B	C	C
WHYD22027263_B	C	C
WHYD22027264_B	D	D
WHYD22027265_B	D	D
WHYD22027267_B	D	D
WHYD22027268_B	D	D
WHYD22027270_B	D	D
WHYD22027271_B	D	D
WHYD22027272_B	D	D
WHYD22027273_B	D	D
WHYD22027274_B	D	D
WHYD22027275_B	D	D
WHYD22065063_A	A	A
WHYD22065103_A	A	A
WHYD22065104_A	A	A
WHYD22065105_A	A	A
WHYD22065106_A	A	A
WHYD22065107_A	A	A
WHYD22065108_A	A	A
WHYD22065109_A	A	A
WHYD22065110_A	A	A
WHYD22065111_A	B	B
WHYD22065112_A	B	B
WHYD22065113_A	B	B
WHYD22065114_A	B	B
WHYD22065115_A	B	B
WHYD22065116_A	B	B
WHYD22065117_A	B	B
WHYD22065118_A	B	B
WHYD22065119_A	C	C
WHYD22065120_A	C	C
WHYD22065121_A	C	C
WHYD22065122_A	C	C
WHYD22065123_A	C	C
WHYD22065124_A	C	C
WHYD22065125_A	C	C
WHYD22065126_A	C	C
WHYD22065127_A	C	C
WHYD22065128_A	C	C
WHYD22065129_A	C	C
WHYD22065130_A	C	C
WHYD22065131_A	C	C
WHYD22065132_A	C	C
WHYD22065133_A	C	C
WHYD22065134_A	C	C
WHYD22065135_A	C	C
WHYD22065136_A	C	C
WHYD22065137_A	C	C
WHYD22065138_A	C	C
WHYD22065139_A	D	D
WHYD22065140_A	D	D
WHYD22065141_A	D	D
WHYD22065142_A	D	D
WHYD22065143_A	D	D
WHYD22065144_A	D	D
WHYD22065145_A	D	D
WHYD22065146_A	D	D
WHYD22065147_A	D	D
WHYD22065148_A	D	D
WHYD22065149_A	D	D
WHYD22065150_A	D	D
WHYD22065151_A	D	D
WHYD22065152_A	D	D
WHYD22065153_A	D	D
WHYD22065154_A	D	D
WHYD22065155_A	D	D
WHYD22065156_A	D	D
WHYD22065157_A	D	D
WHYD22065158_A	D	D
WHYD22065159_A	D	D
WHYD22065160_A	D	D
WHYD22065161_A	D	D
WHYD23013021_A	A	A
WHYD23013022_A	A	A
WHYD23013023_A	A	A
WHYD23013024_A	A	A
WHYD23013025_A	A	A
WHYD23013026_A	A	A
WHYD23013027_A	A	A
WHYD23013028_A	A	A
WHYD23013029_A	A	A
WHYD23013030_A	A	A
WHYD23013032_A	A	A
WHYD23013033_A	B	B
WHYD23013034_A	B	B
WHYD23013035_A	B	B
WHYD23013036_A	C	C
WHYD23013037_A	C	C
WHYD23013038_A	C	C
WHYD23013039_A	C	C
WHYD23013040_A	C	C
WHYD23013041_A	C	C
WHYD23013042_A	D	D
WHYD23013043_A	D	D
WHYD23013044_A	D	D
WHYD23013045_A	D	D
WHYD23013046_A	D	D
WHYD23013047_A	D	D
WHYD23013048_A	D	D
WHYD23013049_A	D	D
WHYD23013050_A	D	D
WHYD23013051_A	D	D
WHYD23013052_A	D	D
WHYD23013053_A	D	D
WHYD23013054_A	D	D
WHYD23013055_A	D	D
WHYD23070579_A	A	A
WHYD23070580_A	A	A
WHYD23070581_A	A	A
WHYD23070582_A	A	A
WHYD23070583_A	A	A
WHYD23070584_A	A	A
WHYD23070585_A	A	A
WHYD23070586_A	A	A
WHYD23070587_A	A	A
WHYD23070588_A	A	A
WHYD23070589_A	A	A
WHYD23070590_A	A	A
WHYD23070591_A	A	A
WHYD23070592_A	A	A
WHYD23070594_A	A	A
WHYD23070595_A	A	A
WHYD23070596_A	A	A
WHYD23070598_A	A	A
WHYD23070599_A	B	B
WHYD23070600_A	B	B
WHYD23070601_A	B	B
WHYD23070602_A	C	C
WHYD23070604_A	D	D
WHYD23070605_A	D	D
